|Объем памяти комплекта|Кол-во планок в комплекте|Форм-фактор памяти|Тип памяти|Тактовая частота|Пропускная способность|CAS-латентность|Схема таймингов памяти|Рабочее напряжение|Тип охлаждения|Профиль планки|Дополнительно|Маркировка производителя|Высота планки|Ранг памяти|Синхронизация подсветки|Код EAN / UPS / GTIN
Patriot Memory Signature DDR4 2x4Gb PSD48G2666K|8 ГБ|2 шт|DIMM|DDR4|2666 МГц|21300 МБ/с|CL19|19-19-19-43|1.2 В|без охлаждения|стандартный|||32 мм|||
A-Data Premier DDR4 1x16Gb AD4U320016G22-SGN|16 ГБ|1 шт|DIMM|DDR4|3200 МГц|25600 МБ/с|CL22|22-22-22|1.2 В|без охлаждения|стандартный||||||4711085931443
Patriot Memory Signature DDR4 2x8Gb PSD416G2666K|16 ГБ|2 шт|DIMM|DDR4|2666 МГц|21300 МБ/с|CL19|19-19-19-43|1.2 В|без охлаждения|стандартный|||32 мм|||
Patriot Memory Viper Elite II DDR4 1x4Gb PVE244G266C6|4 ГБ|1 шт|DIMM|DDR4|2666 МГц|21300 МБ/с|CL16|16-17-17-36|1.2 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP||35 мм|||0814914028803
Patriot Memory Viper Elite II DDR4 1x16Gb PVE2416G360C0|16 ГБ|1 шт|DIMM|DDR4|3600 МГц|28800 МБ/с|CL20|20-26-26-46|1.35 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP||35 мм|||0814914028735
Patriot Memory Viper Steel DDR4 2x8Gb PVS416G373C7K|16 ГБ|2 шт|DIMM|DDR4|3733 МГц|29800 МБ/с|CL17|17-21-21-41|1.35 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP||44.4 мм|||0814914025529
G.Skill Ripjaws V DDR4 2x16Gb F4-3600C16D-32GVKC|32 ГБ|2 шт|DIMM|DDR4|3600 МГц|28800 МБ/с|CL16|16-19-19|1.35 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP||42 мм|||
Kingston ValueRAM SO-DIMM DDR3 1x8Gb KVR1333D3S9\/8G|8 ГБ|1 шт|SO-DIMM|DDR3|1333 МГц|10600 МБ/с|CL9|9-9-9|1.5 В|без охлаждения|стандартный||||||
Samsung M393 Registered DDR4 1x32Gb M393A4K40DB2-CVF|32 ГБ|1 шт|DIMM|DDR4|2933 МГц|23400 МБ/с|CL21|21-21-21|1.2 В|без охлаждения|стандартный|поддержка буферизации (Registered), поддержка ECC|||||
Hynix HMA DDR4 1x8Gb HMA41GU6AFR8N-TF|8 ГБ|1 шт|DIMM|DDR4|2133 МГц|17000 МБ/с|CL15|15-15-15|1.2 В|без охлаждения|стандартный||||||
Silicon Power DDR4 SO-DIMM 1x8Gb SP008 ГБSFU266X02|8 ГБ|1 шт|SO-DIMM|DDR4|2666 МГц|21300 МБ/с|CL19|19-19-19|1.2 В|без охлаждения|стандартный||||||0886576059426, 4713436143956
Kingston Fury Beast DDR4 RGB 1x8Gb KF432C16BB2A\/8|8 ГБ|1 шт|DIMM|DDR4|3200 МГц|25600 МБ/с|CL16|16-18-18|1.35 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP, подсветка||43 мм|одноранговая|multi compatibility|
Kingston Fury Beast DDR4 RGB 1x8Gb KF437C19BB2A\/8|8 ГБ|1 шт|DIMM|DDR4|3733 МГц|29800 МБ/с|CL19|19-23-23|1.35 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP, подсветка||43 мм|одноранговая|multi compatibility|
Team Group Elite DDR4 1x16Gb TED416G2666C1901|16 ГБ|1 шт|DIMM|DDR4|2666 МГц|21300 МБ/с|CL19|19-19-19-43|1.2 В|без охлаждения|стандартный||||двухранговая||0765441637016
Patriot Memory Viper Venom RGB DDR5 2x16Gb PVVR532G740C36K|32 ГБ|2 шт|DIMM|DDR5|7400 МГц|59200 МБ/с|CL36|36-44-44-110|1.45 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP, подсветка||43 мм||multi compatibility|
Kingston KSM HD DDR4 1x16Gb KSM32ED8\/16HD|16 ГБ|1 шт|DIMM|DDR4|3200 МГц|25600 МБ/с|CL22|22-22-22|1.2 В|без охлаждения|стандартный|поддержка ECC|||двухранговая||0740617312225
Patriot Memory Viper Steel DDR4 2x32Gb PVS464G320C6K|64 ГБ|2 шт|DIMM|DDR4|3200 МГц|25600 МБ/с|CL16|16-20-20-40|1.35 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP||44.4 мм|||0814914026939
Patriot Memory Viper Venom DDR5 2x32Gb PVV564G520C40K|64 ГБ|2 шт|DIMM|DDR5|5200 МГц|41600 МБ/с|CL40|40-40-40-76|1.35 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP||43 мм|||4711378423709
Patriot Memory Viper Elite II DDR4 1x16Gb PVE2416G266C6|16 ГБ|1 шт|DIMM|DDR4|2666 МГц|21300 МБ/с|CL16|16-17-17-36|1.2 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP||35 мм|||0814914028780
Kingston KVR SO-DIMM DDR4 1x8Gb KVR26S19S8\/8|8 ГБ|1 шт|SO-DIMM|DDR4|2666 МГц|21300 МБ/с|CL19|19-19-19|1.2 В|без охлаждения|стандартный||||одноранговая||0740617280630
Samsung M393 Registered DDR4 1x64Gb M393A8G40BB4-CWE|64 ГБ|1 шт|DIMM|DDR4|3200 МГц|25600 МБ/с|CL21|21-21-21|1.2 В|без охлаждения|стандартный|поддержка буферизации (Registered), поддержка ECC|||двухранговая||
Crucial DDR4 SO-DIMM 1x8Gb CT8G4SFS8266|8 ГБ|1 шт|SO-DIMM|DDR4|2666 МГц|21300 МБ/с|CL19|19-19-19|1.2 В|без охлаждения|стандартный||||||
Kingston Fury Beast RGB DDR5 4x16Gb KF560C40BWAK4-64|64 ГБ|4 шт|DIMM|DDR5|6000 МГц|48000 МБ/с|CL40|40-40-40|1.35 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP, подсветка||42.23 мм|одноранговая|multi compatibility|
Micron DDR4 SO-DIMM 1x4Gb MTA4ATF51264HZ-3G2|4 ГБ|1 шт|SO-DIMM|DDR4|2400 МГц|19200 МБ/с|CL17||1.2 В|без охлаждения|стандартный||MTA4ATF51264HZ-3G2E1, MTA4ATF51264HZ-3G2J1, MTA4ATF51264HZ-3G2R1||одноранговая||
Kingston KVR SO-DIMM DDR5 1x16Gb KVR52S42BS8-16|16 ГБ|1 шт|SO-DIMM|DDR5|5200 МГц|41600 МБ/с|CL42|42-42-42|1.1 В|без охлаждения|стандартный|||30 мм|одноранговая||
Kingston KVR SO-DIMM DDR5 1x32Gb KVR56S46BD8-32|32 ГБ|1 шт|SO-DIMM|DDR5|5600 МГц|44800 МБ/с|CL46|46-45-45|1.1 В|без охлаждения|стандартный|||30 мм|двухранговая||
Silicon Power DDR4 1x16Gb SP016 ГБLFU320X02|16 ГБ|1 шт|DIMM|DDR4|3200 МГц|25600 МБ/с|CL22||1.2 В|без охлаждения|стандартный||||||04713436143796, 4713436143796
Kingston Fury Beast DDR4 RGB 1x8Gb KF426C16BB2A\/8|8 ГБ|1 шт|DIMM|DDR4|2666 МГц|21300 МБ/с|CL16|16-18-18|1.2 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP, подсветка||43 мм|одноранговая|multi compatibility|
Kingston Fury Beast DDR4 RGB 1x8Gb KF436C17BB2A\/8|8 ГБ|1 шт|DIMM|DDR4|3600 МГц|28800 МБ/с|CL17|17-21-21|1.35 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP, подсветка||43 мм|одноранговая|multi compatibility|
A-Data XPG Spectrix D60G DDR4 RGB 2x16Gb AX4U360016G18I-DT60|32 ГБ|2 шт|DIMM|DDR4|3600 МГц|28800 МБ/с|CL18|18-22-22|1.35 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP, подсветка||48 мм||multi compatibility|4711085934451
Team Group Elite DDR4 1x8Gb TED48G2133C1501|8 ГБ|1 шт|DIMM|DDR4|2133 МГц|17000 МБ/с|CL15|15-15-15|1.2 В|без охлаждения|стандартный||||одноранговая||
Patriot Memory Viper Xtreme 5 RGB 2x24Gb PVXR548G80C38K|48 ГБ|2 шт|DIMM|DDR5|8000 МГц|64000 МБ/с|CL38|38-48-48-84|1.45 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP, подсветка||44 мм||multi compatibility|4711378425475
Patriot Memory Viper Steel SO-DIMM DDR4 1x32Gb PVS432G240C5S|32 ГБ|1 шт|SO-DIMM|DDR4|2400 МГц|19200 МБ/с|CL15|15-15-15-35|1.2 В|без охлаждения|стандартный|серия для разгона (overclocking), поддержка XMP||30 мм|||0814914026984
A-Data XPG Gammix D45 1x32Gb AX4U320032G16A-CBKD45|32 ГБ|1 шт|DIMM|DDR4|3200 МГц|25600 МБ/с|CL16|16-20-20|1.35 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP||39.17 мм|||
Patriot Memory Signature SO-DIMM DDR3 1x8Gb PSD38G16002S|8 ГБ|1 шт|SO-DIMM|DDR3|1600 МГц|12800 МБ/с|CL11|11-11-11|1.5 В|без охлаждения|стандартный||||||0815530013273
Kingston Fury Beast DDR4 RGB 4x32Gb KF426C16BB2AK4\/128|128 ГБ|4 шт|DIMM|DDR4|2666 МГц|21300 МБ/с|CL16|16-18-18|1.2 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP, подсветка||43 мм|двухранговая|multi compatibility|
Kingston Fury Beast DDR4 RGB 2x8Gb KF432C16BB2AK2\/16|16 ГБ|2 шт|DIMM|DDR4|3200 МГц|25600 МБ/с|CL16|16-18-18|1.35 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP, подсветка||43 мм|одноранговая|multi compatibility|
Kingston Fury Beast DDR4 RGB 1x16Gb KF437C19BB12A\/16|16 ГБ|1 шт|DIMM|DDR4|3733 МГц|29800 МБ/с|CL19|19-23-23|1.35 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP, подсветка||43 мм|двухранговая|multi compatibility|
Silicon Power DDR4 SO-DIMM 1x8Gb SP008 ГБSFU320X02|8 ГБ|1 шт|SO-DIMM|DDR4|3200 МГц|25600 МБ/с|CL22|22-22-22|1.2 В|без охлаждения|стандартный||||||4713436144137
Kingston KVR SO-DIMM DDR4 1x8Gb KVR32S22S6\/8|8 ГБ|1 шт|SO-DIMM|DDR4|3200 МГц|25600 МБ/с|CL22|22-22-22|1.2 В|без охлаждения|стандартный||||одноранговая||
Samsung M471 DDR4 SO-DIMM 1x8Gb M471A1K43DB1-CWE|8 ГБ|1 шт|SO-DIMM|DDR4|3200 МГц|25600 МБ/с|CL22|22-22-22|1.2 В|без охлаждения|стандартный||||||
Samsung DDR4 SO-DIMM M471A2K43BB1-CRC|16 ГБ|1 шт|SO-DIMM|DDR4|2400 МГц|19200 МБ/с|CL17|17-17-17|1.2 В|без охлаждения|стандартный||||||
Samsung DDR4 1x8Gb M378A1G43DB0-CPB|8 ГБ|1 шт|DIMM|DDR4|2133 МГц|17000 МБ/с|CL15|15-15-15|1.2 В|без охлаждения|стандартный||||двухранговая||
Kingston Fury Beast DDR4 RGB 2x16Gb KF426C16BB12AK2\/32|32 ГБ|2 шт|DIMM|DDR4|2666 МГц|21300 МБ/с|CL16|16-18-18|1.2 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP, подсветка||43 мм|двухранговая|multi compatibility|
Patriot Memory Viper Steel DDR4 1x16Gb PVS416G320C6|16 ГБ|1 шт|DIMM|DDR4|3200 МГц|25600 МБ/с|CL16|16-20-20-40|1.35 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP||44.4 мм|||0814914025512
Kingston Fury Beast DDR4 RGB 4x16Gb KF432C16BB12AK4\/64|64 ГБ|4 шт|DIMM|DDR4|3200 МГц|25600 МБ/с|CL16|16-18-18|1.35 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP, подсветка||43 мм|двухранговая|multi compatibility|
Patriot Memory Viper Elite II DDR4 2x4Gb PVE248G266C6K|8 ГБ|2 шт|DIMM|DDR4|2666 МГц|21300 МБ/с|CL16|16-17-17-36|1.2 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP||35 мм|||
Kingston ValueRAM DDR3 1x4Gb KVR16LN11\/4|4 ГБ|1 шт|DIMM|DDR3|1600 МГц|12800 МБ/с|CL11|11-11-11|1.35 В|без охлаждения|низкий||||||
Kingston KSM MR DDR4 1x8Gb KSM32ES8\/8MR|8 ГБ|1 шт|DIMM|DDR4|3200 МГц|25600 МБ/с|CL22|22-22-22|1.2 В|без охлаждения|стандартный|поддержка ECC|||одноранговая||0740617325157
Kingston KVR ValueRAM DDR4 1x16Gb KVR24R17D8\/16|16 ГБ|1 шт|DIMM|DDR4|2400 МГц|19200 МБ/с|CL17|17-17-17|1.2 В|без охлаждения|стандартный|поддержка буферизации (Registered), поддержка ECC||31.2 мм|двухранговая||
Netac Shadow II DDR5 2x16Gb NTSWD5P48DP-32K|32 ГБ|2 шт|DIMM|DDR5|4800 МГц|38400 МБ/с|CL40|40-40-40-77|1.1 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP|NTSWD5P48DP-32K, NTSWD5P48DP-32W|43.5 мм|||
Kingston Fury Beast DDR4 RGB 1x16Gb KF432C16BB12A\/16|16 ГБ|1 шт|DIMM|DDR4|3200 МГц|25600 МБ/с|CL16|16-18-18|1.35 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP, подсветка||43 мм|двухранговая|multi compatibility|
Patriot Memory Signature SO-DIMM DDR3 1x4Gb PSD34G13332S|4 ГБ|1 шт|SO-DIMM|DDR3|1333 МГц|10600 МБ/с|CL9|9-9-9|1.5 В|без охлаждения|стандартный||||||0809185334456
Patriot Memory Viper Steel RGB 1x16Gb PVSR416G360C0|16 ГБ|1 шт|DIMM|DDR4|3600 МГц|28800 МБ/с|CL20|20-26-26-46|1.35 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP, подсветка||44 мм||multi compatibility|
Kingston Fury Beast DDR4 RGB 1x32Gb KF432C16BB2A\/32|32 ГБ|1 шт|DIMM|DDR4|3200 МГц|25600 МБ/с|CL16|16-20-20|1.35 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP, подсветка||43 мм|двухранговая|multi compatibility|
G.Skill Trident Z5 RGB DDR5 2x16Gb F5-6000J3040F16GX2-TZ5RS|32 ГБ|2 шт|DIMM|DDR5|6000 МГц|48000 МБ/с|CL30|30-40-40-96|1.35 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP, подсветка|F5-6000J3040F16GA2-TZ5RK, F5-6000J3040F16GX2-TZ5RK, F5-6000J3040F16GX2-TZ5RS|||multi compatibility|
Crucial DDR4 SO-DIMM 1x8Gb CT8G4SFS832A|8 ГБ|1 шт|SO-DIMM|DDR4|3200 МГц|25600 МБ/с|CL22|22-22-22|1.2 В|без охлаждения|стандартный||||одноранговая||
Silicon Power XPOWER Zenith RGB DDR4 2x8Gb SP016GXLZU320BDD|16 ГБ|2 шт|DIMM|DDR4|3200 МГц|25600 МБ/с|CL16||1.35 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP, подсветка||38.5 мм||multi compatibility|4713436143123
Kingston Fury Beast DDR4 4x4Gb KF426C16BBK4\/16|16 ГБ|4 шт|DIMM|DDR4|2666 МГц|21300 МБ/с|CL16|16-18-18|1.2 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP||34 мм|одноранговая||0740617320190
G.Skill Trident Z5 RGB DDR5 2x32Gb F5-6000J3636F32GX2-TZ5RK|64 ГБ|2 шт|DIMM|DDR5|6000 МГц|48000 МБ/с|CL36|36-36-36-96|1.35 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP, подсветка|F5-6000J3636F32GX2-TZ5RK, F5-6000J3636F32GX2-TZ5RW|||multi compatibility|4713294233547
Patriot Memory Viper Xtreme 5 RGB 2x16Gb PVXR532G78C38K|32 ГБ|2 шт|DIMM|DDR5|7800 МГц|62400 МБ/с|CL38|38-48-48-84|1.45 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP, подсветка||44 мм||multi compatibility|4711378425055
Patriot Memory Viper Steel RGB 1x8Gb PVSR48G360C0|8 ГБ|1 шт|DIMM|DDR4|3600 МГц|28800 МБ/с|CL20|20-26-26-46|1.35 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP, подсветка||44 мм||multi compatibility|
Patriot Memory Signature SO-DIMM DDR4 1x16Gb PSD416G266681S|16 ГБ|1 шт|SO-DIMM|DDR4|2666 МГц|21300 МБ/с|CL17|19-19-19-43|1.2 В|без охлаждения|стандартный||||||
Patriot Memory Viper Xtreme 5 RGB 2x24Gb PVXR548G76C36K|48 ГБ|2 шт|DIMM|DDR5|7600 МГц|60800 МБ/с|CL36|36-48-48-84|1.45 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP, подсветка||44 мм||multi compatibility|4711378425482
Patriot Memory Signature Premium 1x8Gb PSP48G240081H1|8 ГБ|1 шт|DIMM|DDR4|2400 МГц|19200 МБ/с|CL17|17-17-17-39|1.2 В|радиатор|стандартный|||37 мм|одноранговая||0814914025710
Netac Shadow RGB DDR5 2x16Gb NTSRD5P48DP-32S|32 ГБ|2 шт|DIMM|DDR5|4800 МГц|38400 МБ/с|CL40|40-40-40-77|1.1 В|радиатор|стандартный|подсветка||||multi compatibility|6926337234113
Samsung DDR4 SO-DIMM M471A1K43CB1-CRC|8 ГБ|1 шт|SO-DIMM|DDR4|2400 МГц|19200 МБ/с|CL17|17-17-17|1.2 В|без охлаждения|стандартный||||||
Patriot Memory Signature Premium 1x32Gb PSP432G32002H1|32 ГБ|1 шт|DIMM|DDR4|3200 МГц|25600 МБ/с|CL22|22-22-22-52|1.2 В|радиатор|стандартный|||37 мм|||0814914027172
Patriot Memory Signature SO-DIMM DDR4 1x8Gb PSD48G266681S|8 ГБ|1 шт|SO-DIMM|DDR4|2666 МГц|21300 МБ/с|CL19|19-19-19-43|1.2 В|без охлаждения|стандартный||||||0814914025574
Kingston KSM HDR DDR4 1x16Gb KSM32RD8\/16HDR|16 ГБ|1 шт|DIMM|DDR4|3200 МГц|25600 МБ/с|CL22|22-22-22|1.2 В|без охлаждения|стандартный|поддержка буферизации (Registered), поддержка ECC|||двухранговая||0740617308112
A-Data XPG Spectrix D50 ROG DDR4 RGB 2x8Gb AX4U36008G17H-DC50R|16 ГБ|2 шт|DIMM|DDR4|3600 МГц|28800 МБ/с|CL17|17-21-21|1.35 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP, подсветка||40 мм||multi compatibility|4711085936264
Patriot Memory Signature Premium 1x16Gb PSP416G266681H1|16 ГБ|1 шт|DIMM|DDR4|2666 МГц|21300 МБ/с|CL19|19-19-19-43|1.2 В|радиатор|стандартный|||37 мм|двухранговая||0814914027455
Patriot Memory Viper 4 Blackout DDR4 2x32Gb PVB464G320C6K|64 ГБ|2 шт|DIMM|DDR4|3200 МГц|25600 МБ/с|CL16|16-20-20-40|1.35 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP||42.6 мм|||0814914026960
Patriot Memory Signature SO-DIMM DDR4 1x8Gb PSD48G320081S|8 ГБ|1 шт|SO-DIMM|DDR4|3200 МГц|25600 МБ/с|CL22|22-22-22-52|1.2 В|без охлаждения|стандартный||||||
Kingston Fury Beast DDR4 RGB 2x32Gb KF436C18BB2AK2\/64|64 ГБ|2 шт|DIMM|DDR4|3600 МГц|28800 МБ/с|CL18|18-22-22|1.35 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP, подсветка||43 мм|двухранговая|multi compatibility|
Kingston Fury Beast DDR4 RGB 2x8Gb KF437C19BB2AK2\/16|16 ГБ|2 шт|DIMM|DDR4|3733 МГц|29800 МБ/с|CL19|19-23-23|1.35 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP, подсветка||43 мм|одноранговая|multi compatibility|
Kingston KVR ValueRAM DDR4 1x4Gb KVR24N17S6\/4|4 ГБ|1 шт|DIMM|DDR4|2400 МГц|19200 МБ/с|CL17|17-17-17|1.2 В|без охлаждения|стандартный|||31.2 мм|одноранговая||
Kingston ValueRAM SO-DIMM DDR3 1x2Gb KVR16LS11S6\/2|2 ГБ|1 шт|SO-DIMM|DDR3|1600 МГц|12800 МБ/с|CL11|11-11-11|1.35 В|без охлаждения|стандартный||||||0740617228328
Kingston KVR DDR5 2x32Gb KVR48U40BD8K2-64|64 ГБ|2 шт|DIMM|DDR5|4800 МГц|38400 МБ/с|CL40|40-39-39|1.1 В|без охлаждения|стандартный||||двухранговая||0740617325034
Kingston Fury Beast DDR4 RGB 2x16Gb KF436C18BB2AK2\/32|32 ГБ|2 шт|DIMM|DDR4|3600 МГц|28800 МБ/с|CL18|18-22-22|1.35 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP, подсветка||43 мм|одноранговая|multi compatibility|
Kingston Fury Beast DDR5 2x8Gb KF556C36BBEK2-16|16 ГБ|2 шт|DIMM|DDR5|5600 МГц|44800 МБ/с|CL36|36-38-38|1.25 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP, поддержка EXPO||34.9 мм|одноранговая||
Patriot Memory Viper Venom RGB DDR5 1x16Gb PVVR532G560C36K|16 ГБ|1 шт|DIMM|DDR5|5600 МГц|44800 МБ/с|CL36|36-36-36-70|1.2 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP, подсветка||||multi compatibility|
Kingston ValueRAM SO-DIMM DDR3 1x4Gb KVR16LS11\/4|4 ГБ|1 шт|SO-DIMM|DDR3|1600 МГц|12800 МБ/с|CL11|11-11-11|1.35 В|без охлаждения|стандартный||||||
Kingston Fury Beast DDR4 RGB 1x32Gb KF436C18BB2A\/32|32 ГБ|1 шт|DIMM|DDR4|3600 МГц|28800 МБ/с|CL18|18-22-22|1.35 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP, подсветка||43 мм|двухранговая|multi compatibility|
Kingston Fury Beast DDR4 RGB 2x16Gb KF437C19BB12AK2\/32|32 ГБ|2 шт|DIMM|DDR4|3733 МГц|29800 МБ/с|CL19|19-23-23|1.35 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP, подсветка||43 мм|двухранговая|multi compatibility|
G.Skill Trident Z5 Neo RGB DDR5 2x32Gb F5-6000J3040G32GX2-TZ5NR|64 ГБ|2 шт|DIMM|DDR5|6000 МГц|48000 МБ/с|CL30|30-40-40-96|1.4 В|радиатор|стандартный|серия для разгона (overclocking), поддержка EXPO, подсветка||||multi compatibility|
Patriot Memory Signature DDR4 1x4Gb PSD44G266682|4 ГБ|1 шт|DIMM|DDR4|2666 МГц|21300 МБ/с|CL19|19-19-19-43|1.2 В|без охлаждения|стандартный|||32 мм|||
Silicon Power XPOWER Zenith RGB DDR4 2x8Gb SP016GXLZU360BDD|16 ГБ|2 шт|DIMM|DDR4|3600 МГц|28800 МБ/с|CL18||1.35 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP, подсветка||38.5 мм||multi compatibility|4713436143185
Patriot Memory Signature SO-DIMM DDR4 1x32Gb PSD432G26662S|32 ГБ|1 шт|SO-DIMM|DDR4|2666 МГц|21300 МБ/с|CL19|19-19-19-43|1.2 В|без охлаждения|стандартный||||||0814914027011
AMD R9 DDR4 DIMM 1x4Gb R944G3206U2S-U|4 ГБ|1 шт|DIMM|DDR4|3200 МГц|25600 МБ/с|CL16|16-18-18-38|1.35 В|без охлаждения|стандартный||||||
Kingston Fury Impact DDR5 1x32Gb KF548S38IB-32|32 ГБ|1 шт|SO-DIMM|DDR5|4800 МГц|38400 МБ/с|CL38|38-38-38|1.1 В|без охлаждения|стандартный||||двухранговая||0740617326123
Crucial DDR4 SO-DIMM 1x8Gb CT8G4SFD8213|8 ГБ|1 шт|SO-DIMM|DDR4|2133 МГц|17000 МБ/с|CL15|15-15-15|1.2 В|без охлаждения|стандартный||||||
Kingston KVR DDR4 1x16Gb KVR32N22S8\/16|16 ГБ|1 шт|DIMM|DDR4|3200 МГц|25600 МБ/с|CL22|22-22-22|1.2 В|без охлаждения|стандартный|||31.2 мм|одноранговая||0740617310863
G.Skill S Q F3-1600C11S-8GSQ|8 ГБ|1 шт|SO-DIMM|DDR3|1600 МГц|12800 МБ/с|CL11|11-11-11|1.5 В|без охлаждения|стандартный||||||
Kingston Fury Beast RGB DDR4 1x32Gb KF432C16BBA\/32|32 ГБ|1 шт|DIMM|DDR4|3200 МГц|25600 МБ/с|CL16|16-20-20|1.35 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP, подсветка||41.2 мм|двухранговая|multi compatibility|
Kingston Fury Beast DDR5 RGB 2x32Gb KF560C36BBEAK2-64|64 ГБ|2 шт|DIMM|DDR5|6000 МГц|48000 МБ/с|CL36|36-38-38|1.35 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP, поддержка EXPO, подсветка||42.23 мм|двухранговая|multi compatibility|
Kingston Fury Renegade DDR5 2x16Gb KF568C36RSK2-32|32 ГБ|2 шт|DIMM|DDR5|6800 МГц||CL36|36-42-42|1.4 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP|KF568C36RSK2-32, KF568C36RWK2-32||||
Kingston KVR DDR5 1x32Gb KVR48U40BD8-32|32 ГБ|1 шт|DIMM|DDR5|4800 МГц|38400 МБ/с|CL40|40-39-39|1.1 В|без охлаждения|стандартный|||31.25 мм|двухранговая||0740617325058
Crucial DDR4 SO-DIMM 1x32Gb CT32G4SFD832A|32 ГБ|1 шт|SO-DIMM|DDR4|3200 МГц|25600 МБ/с|CL22||1.2 В|без охлаждения|стандартный||||двухранговая||0649528822499
AMD R7 Performance SO-DIMM DDR4 1x4Gb R744G2400S1S-U|4 ГБ|1 шт|SO-DIMM|DDR4|2400 МГц|19200 МБ/с|CL17|17-17-17|1.2 В|без охлаждения|стандартный||||||
Kingston Fury Renegade Pro DDR5 1x16Gb KF556R36RB-16|16 ГБ|1 шт|DIMM|DDR5|5600 МГц|44800 МБ/с|CL36|36-38-38|1.25 В|без охлаждения|стандартный|серия для разгона (overclocking), поддержка XMP, поддержка буферизации (Registered)||31.25 мм|одноранговая||0740617335606
Crucial Value DDR4 1x32Gb CT32G4DFD832A|32 ГБ|1 шт|DIMM|DDR4|3200 МГц|25600 МБ/с|CL22|22-22-22|1.2 В|без охлаждения|стандартный||||двухранговая||0649528822475
AMD R7 Performance SO-DIMM DDR4 1x4Gb R744G2606S1S-U|4 ГБ|1 шт|SO-DIMM|DDR4|2666 МГц|21300 МБ/с|CL16|16-16-16|1.2 В|без охлаждения|стандартный||||||
Patriot Memory Signature DDR4 1x16Gb PSD416G240081|16 ГБ|1 шт|DIMM|DDR4|2400 МГц|19200 МБ/с|CL17|17-17-17|1.2 В|без охлаждения|стандартный|||32 мм|двухранговая||0814914027479
Kingston Fury Impact DDR4 2x32Gb KF426S16IBK2\/64|64 ГБ|2 шт|SO-DIMM|DDR4|2666 МГц|21300 МБ/с|CL16|16-18-18|1.2 В|без охлаждения|стандартный|поддержка XMP|||двухранговая||
Patriot Memory Viper 4 Blackout DDR4 2x32Gb PVB464G360C8K|64 ГБ|2 шт|DIMM|DDR4|3600 МГц|28800 МБ/с|CL18|18-22-22-42|1.35 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP||42.6 мм|||0814914026977
G.Skill Trident Z5 DDR5 2x16Gb F5-6000J3040F16GX2-TZ5S|32 ГБ|2 шт|DIMM|DDR5|6000 МГц|48000 МБ/с|CL30|30-40-40-96|1.35 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP|||||
