|Подключение|Профессиональная|DVI-D|DVI-I|DisplayPort|Макс. подключаемых мониторов|Охлаждение|Потребляемая мощность|Дополнительное питание|Занимаемых слотов|Длина видеокарты|Модель GPU|Объем памяти|Тип памяти|Разрядность шины|Частота работы GPU|Частота работы памяти|Техпроцесс|Макс. разрешение|Версия DirectX|Версия OpenGL|Потоковых процессоров|Версия потоковых процессоров|Текстурных блоков|HDMI|Кол-во  вентиляторов|Тест Passmark G3D Mark|Маркировка производителя|Версия HDMI|Версия DisplayPort|Рекомендуемая мощность БП от|Поддержка VR|LHR (low hash rate)|Архитектура|Подсветка|miniDisplayPort|USB C|Синхронизация подсветки|Низкопрофильная (low profile)|Поддержка CrossFire/SLI|VGA|Создано для майнинга|Код EAN / UPS / GTIN|Слот M.2|miniHDMI|Внешняя
MSI GeForce RTX 4070 Ti GAMING X SLIM 12G|PCI-E v4.0||||3 шт|4|активное (кулер)|285 Вт|16 pin|2.5|307 мм|NVIDIA GeForce RTX 4070 Ti|12 ГБ|GDDR6X|192 бит|2745 МГц|21000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|7680|||1 шт|3 шт|31526 балл(ов)||v.2.1a|v.1.4a|700 Вт|Есть||Ada Lovelace|Есть|||MSI Mystic Light Sync|||||4711377108805|||
Asus GeForce RTX 4090 TUF 24GB TUF-RTX4090-24G-GAMING|PCI-E v4.0||||3 шт|4|активное (кулер)||16 pin|3.7|348 мм|NVIDIA GeForce RTX 4090|24 ГБ|GDDR6X|384 бит||21000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|16384|||2 шт|3 шт||TUF-RTX4090-24G-GAMING|v.2.1a|v.1.4a|850 Вт|Есть|||Есть|||Asus Aura Sync||||||||
ZOTAC GeForce RTX 3050 Solo ZT-A30500G-10L|PCI-E v4.0||||3 шт|4|активное (кулер)|130 Вт|8 pin|2|168 мм|NVIDIA GeForce RTX 3050|8 ГБ|GDDR6|128 бит|1777 МГц|14000 МГц|8 нм|7680x4320 пикс|12 Ultimate|4.6|2560|||1 шт|1 шт||ZT-A30500G-10L|v.2.1|v.1.4a|450 Вт|Есть||Ampere|||||||||4895173626258|||
MSI GeForce RTX 4090 VENTUS 3X 24G OC|PCI-E v4.0||||3 шт|4|активное (кулер)|450 Вт|16 pin|3.2|322 мм|NVIDIA GeForce RTX 4090|24 ГБ|GDDR6X|384 бит|2565 МГц|21000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|16384|||1 шт|3 шт|39128 балл(ов)||v.2.1a|v.1.4a|850 Вт|Есть||Ada Lovelace|||||||||4711377020213|||
Asus GeForce GTX 1650 TUF Gaming GDDR6 TUF-GTX1650-4GD6-GAMING|PCI-E v3.0||1 шт||1 шт|3|активное (кулер)|75 Вт||2|204 мм|NVIDIA GeForce GTX 1650|4 ГБ|GDDR6|128 бит|1620 МГц|12000 МГц|12 нм|7680x4320 пикс|12|4.6|896||56|1 шт|2 шт|5825 балл(ов)|TUF-GTX1650-4GD6-GAMING|v.2.0b|v.1.4|300 Вт|||||||||||||||
Gigabyte GeForce GT 710 GV-N710D5-2GL|PCI-E v2.0|||1 шт||2|активное (кулер)|||1|144 мм|NVIDIA GeForce GT 710|2 ГБ|GDDR5|64 бит|954 МГц|5010 МГц|28 нм|4096x2160 пикс|12|4.5|192|5|16|1 шт|1 шт|||||300 Вт||||||||Есть|||||||
Palit GeForce GTX 1650 GP OC NE61650S1BG1-1175A|PCI-E v3.0||||2 шт|3|активное (кулер)|75 Вт|6 pin|2|170 мм|NVIDIA GeForce GTX 1650|4 ГБ|GDDR6|128 бит|1725 МГц|12000 МГц|12 нм|7680x4320 пикс|12|4.6|896||56|1 шт|2 шт|5825 балл(ов)||v.2.0b|v.1.4|300 Вт|||||||||||||||
MSI GeForce RTX 4070 GAMING X SLIM 12G|PCI-E v4.0||||3 шт|4|активное (кулер)|215 Вт|16 pin|2.2|307 мм|NVIDIA GeForce RTX 4070|12 ГБ|GDDR6X|192 бит|2625 МГц|21000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|5888|||1 шт|3 шт|26394 балл(ов)||v.2.1a|v.1.4a|650 Вт|Есть||Ada Lovelace|Есть|||MSI Mystic Light Sync|||||4711377112154|||
PowerColor Radeon RX 6800 AXRX 6800 16GBD6-3DH/OC Radeon RX 6800 AXRX 6800 16 ГБD6-3DH\/OC|PCI-E v4.0||||3 шт|4|активное (кулер)||8 + 8 pin|3|300 мм|AMD Radeon RX 6800|16 ГБ|GDDR6|256 бит|2155 МГц|16000 МГц|7 нм|7680x4320 пикс|12 Ultimate|4.6|3840||240|1 шт|3 шт|21354 балл(ов)||v.2.1|v.1.4|650 Вт|Есть||||||||||||||
Asus GeForce RTX 3050 Phoenix 8GB PH-RTX3050-8G|PCI-E v4.0||||3 шт|4|активное (кулер)||8 pin|2.5|177 мм|NVIDIA GeForce RTX 3050|8 ГБ|GDDR6|128 бит||14000 МГц|8 нм|7680x4320 пикс|12 Ultimate|4.6|2560|||1 шт|1 шт||PH-RTX3050-8G|v.2.1|v.1.4a|550 Вт|Есть||||||||||||||
Palit GeForce GTX 1650 GP NE6165001BG1-1175A|PCI-E v3.0||||2 шт|3|активное (кулер)|75 Вт|6 pin|2|170 мм|NVIDIA GeForce GTX 1650|4 ГБ|GDDR6|128 бит|1590 МГц|12000 МГц|12 нм|7680x4320 пикс|12|4.6|896||56|1 шт|2 шт|5825 балл(ов)||v.2.0b|v.1.4|300 Вт|||||||||||||||
Palit GeForce GTX 1660 Ti Dual NE6166T018J9-1160A|PCI-E v3.0||1 шт||1 шт|3|активное (кулер)|120 Вт|8 pin|2|235 мм|NVIDIA GeForce GTX 1660 Ti|6 ГБ|GDDR6|192 бит|1770 МГц|12000 МГц|12 нм|7680x4320 пикс|12|4.6|1536||96|1 шт|2 шт|11730 балл(ов)|NE6166T018J9-1160A|v.2.0b|v.1.4|450 Вт|Есть||||||||||||||
MSI GeForce GTX 1650 D6 VENTUS XS|PCI-E v3.0||1 шт||1 шт|3|активное (кулер)|75 Вт||2|178 мм|NVIDIA GeForce GTX 1650|4 ГБ|GDDR6|128 бит|1590 МГц|12000 МГц|12 нм|7680x4320 пикс|12|4.6|896||56|1 шт|2 шт|5825 балл(ов)||v.2.0b|v.1.4|300 Вт|||||||||||||||
Sapphire Radeon RX 7600 PULSE 11324-01-20G|PCI-E v4.0 / x8 /||||3 шт|4|активное (кулер)|185 Вт|8 pin|2|240 мм|AMD Radeon RX 7600|8 ГБ|GDDR6|128 бит|2755 МГц|18000 МГц|6 нм|7680x4320 пикс|12 Ultimate|4.6|2048|||1 шт|2 шт||11324-01-20G|v.2.1|v.1.4a|550 Вт|||Navi 3X (RDNA 3)|||||||||4895106293618|||
MSI GeForce RTX 4080 16GB VENTUS 3X OC|PCI-E v4.0||||3 шт|4|активное (кулер)||16 pin||322 мм|NVIDIA GeForce RTX 4080|16 ГБ|GDDR6X|256 бит||23000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|9728|||1 шт|3 шт|||v.2.1a|v.1.4a|750 Вт|Есть||||||||||||||
Asus Radeon RX 560 ROG STRIX 4GB GDDR5 ROG-STRIX-RX560-4G-V2-GAMING|PCI-E v3.0||1 шт|||2|активное (кулер)||8 pin|2|242 мм|AMD Radeon RX 560|4 ГБ|GDDR5|128 бит|1199 МГц|6800 МГц|14 нм|5120x2880 пикс|12|4.5|1024|5|64|1 шт|2 шт|4389 балл(ов)|ROG-STRIX-RX560-4G-V2-GAMING|v.2.0b||450 Вт||||Есть||||||||4711081772293|||
Palit GeForce RTX 4060 Ti Dual 8GB NE6406T019P1-1060D|PCI-E v4.0 / x8 /||||3 шт|4|активное (кулер)|160 Вт|8 pin|2|250 мм|NVIDIA GeForce RTX 4060 Ti|8 ГБ|GDDR6|128 бит|2535 МГц|18000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|4352|||1 шт|2 шт||NE6406T019P1-1060D|v.2.1|v.1.4a|650 Вт|Есть||Ada Lovelace|Есть|||||||||||
AFOX GeForce GT 730 AF730-4096D3L6|PCI-E v2.0||1 шт|||2|активное (кулер)|||1|145 мм|NVIDIA GeForce GT 730|4 ГБ|GDDR3|128 бит|954 МГц|1333 МГц|28 нм|2560x1600 пикс|12|4.4|384|5|32||1 шт|||||300 Вт||||||||||1 шт|||||
MSI GeForce RTX 3060 VENTUS 2X 8G OC|PCI-E v4.0||||3 шт|4|активное (кулер)|170 Вт|8 pin|2|235 мм|NVIDIA GeForce RTX 3060|8 ГБ|GDDR6|128 бит|1807 МГц|15000 МГц|8 нм|7680x4320 пикс|12 Ultimate|4.6|3584||112|1 шт|2 шт|16618 балл(ов)||v.2.1|v.1.4a|550 Вт|Есть||Ampere||||||||||||
Asus GeForce RTX 4070 Dual OC 12GB GDDR6X 90YV0IZ2-M0NA00, DUAL-RTX4070-O12G|PCI-E v4.0||||3 шт|4|активное (кулер)||8 pin|2.5|267 мм|NVIDIA GeForce RTX 4070|12 ГБ|GDDR6X|192 бит|2550 МГц|21000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|5888|||1 шт|2 шт|26394 балл(ов)|90YV0IZ2-M0NA00, DUAL-RTX4070-O12G|v.2.1|v.1.4a|650 Вт|Есть||Ada Lovelace|||||||||4711387128206|||
Asus GeForce RTX 3060 Phoenix V2 LHR PH-RTX3060-12G-V2|PCI-E v4.0||||3 шт|4|активное (кулер)||8 pin|2.5|177 мм|NVIDIA GeForce RTX 3060|12 ГБ|GDDR6|192 бит|1807 МГц|15000 МГц|8 нм|7680x4320 пикс|12 Ultimate|4.6|3584||112|1 шт|1 шт|16618 балл(ов)|PH-RTX3060-12G-V2|v.2.1|v.1.4a|650 Вт|Есть|Есть|||||||||||||
Palit GeForce RTX 3080 GameRock NED3080U19IA-1020G|PCI-E v4.0||||3 шт|4|активное (кулер)|340 Вт|8 + 8 + 8 pin|2.7|304 мм|NVIDIA GeForce RTX 3080|10 ГБ|GDDR6X|320 бит|1755 МГц|19000 МГц|8 нм|7680x4320 пикс|12 Ultimate|4.6|8704|||1 шт|3 шт|23907 балл(ов)|NED3080U19IA-1020G|v.2.1|v.1.4a|850 Вт|Есть|||Есть|||||||||||
Sapphire Radeon RX 7900 XTX PULSE 11322-02-20G|PCI-E v4.0||||2 шт|4|активное (кулер)|370 Вт|8 + 8 + 8 pin|2.7|313 мм|AMD Radeon RX 7900 XTX|24 ГБ|GDDR6|384 бит|2525 МГц|20000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|6144|||2 шт|3 шт||11322-02-20G|v.2.1|v.2.1|800 Вт|||Navi 3X (RDNA 3)|||||||||4895106293267|||
Gigabyte GeForce RTX 4060 EAGLE OC 8G GV-N4060EAGLE OC-8GD|PCI-E v4.0 / x8 /||||2 шт|4|активное (кулер)||8 pin|2|272 мм|NVIDIA GeForce RTX 4060|8 ГБ|GDDR6|128 бит||17000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|3072|||2 шт|3 шт||GV-N4060EAGLE OC-8GD|v.2.1a|v.1.4a|450 Вт|Есть||Ada Lovelace||||||||||||
Sapphire Radeon RX 7800 XT PULSE 16GB 11330-02-20G|PCI-E v4.0 / x16 /||||2 шт|4|активное (кулер)|266 Вт|8 + 8 pin|2.5|280 мм|AMD Radeon RX 7800 XT|16 ГБ|GDDR6|256 бит||19500 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|3840|||2 шт|2 шт||11330-02-20G|v.2.1|v.2.1|700 Вт|||Navi 3X (RDNA 3)|||||||||4895106294349|||
MSI GeForce GT 730 N730K-4GD3 OCV1|PCI-E v2.0||1 шт|||2|активное (кулер)|||2|148 мм|NVIDIA GeForce GT 730|4 ГБ|DDR3|64 бит|1006 МГц|1600 МГц|28 нм|2560x1600 пикс|11.2|4.2|384|5|16|1 шт|1 шт|||||300 Вт||||||||||1 шт|||||
MSI GeForce RTX 4080 16GB GAMING X TRIO|PCI-E v4.0||||3 шт|4|активное (кулер)||16 pin||337 мм|NVIDIA GeForce RTX 4080|16 ГБ|GDDR6X|256 бит||22400 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|9728|||1 шт|3 шт|||v.2.1a|v.1.4a|850 Вт|Есть|||Есть|||MSI Mystic Light Sync||||||||
Palit GeForce RTX 4080 GameRock OmniBlack NED4080019T2-1030Q|PCI-E v4.0||||3 шт|4|активное (кулер)|340 Вт|16 pin|3.5|329 мм|NVIDIA GeForce RTX 4080|16 ГБ|GDDR6X|256 бит|2505 МГц|22400 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|7680|||1 шт|3 шт|34587 балл(ов)|NED4080019T2-1030Q|v.2.1|v.1.4a|850 Вт|Есть||Ada Lovelace||||||||||||
Sapphire Radeon RX 7900 XT 21323-01-20G|PCI-E v4.0||||2 шт|4|активное (кулер)|308 Вт|8 + 8 pin|2.5|276 мм|AMD Radeon RX 7900 XT|20 ГБ|GDDR6|320 бит|2400 МГц|20000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|5376|||1 шт|3 шт||||v.2.1|750 Вт|||Navi 3X (RDNA 3)|||1 шт||||||4895106293212|||
Gigabyte GeForce RTX 4060 Ti EAGLE OC 8G GV-N406TEAGLE OC-8GD|PCI-E v4.0 / x8 /||||2 шт|4|активное (кулер)||8 pin|2|272 мм|NVIDIA GeForce RTX 4060 Ti|8 ГБ|GDDR6|128 бит|2550 МГц|18000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|4352|||2 шт|3 шт||GV-N406TEAGLE OC-8GD|v.2.1a|v.1.4a|500 Вт|Есть||Ada Lovelace|||||||||4719331313418|||
Colorful GeForce RTX 3060 NB DUO 12G V2 L-V|PCI-E v4.0||||3 шт|4|активное (кулер)|170 Вт|8 pin|2|254 мм|NVIDIA GeForce RTX 3060|12 ГБ|GDDR6|192 бит|1777 МГц|15000 МГц|8 нм|7680x4320 пикс|12 Ultimate|4.6|3584||112|1 шт|2 шт|16618 балл(ов)||v.2.1|v.1.4a|550 Вт|Есть|Есть|Ampere||||||||||||
MSI GeForce RTX 4070 VENTUS 3X 12G OC|PCI-E v4.0||||3 шт|4|активное (кулер)|200 Вт|8 pin|2|308 мм|NVIDIA GeForce RTX 4070|12 ГБ|GDDR6X|192 бит|2520 МГц|21000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|5888|||1 шт|3 шт|26394 балл(ов)||v.2.1a|v.1.4a|650 Вт|Есть||Ada Lovelace|||||||||0824142319932, 4711377087810|||
MSI GeForce GTX 1650 D6 VENTUS XS OCV1|PCI-E v3.0||1 шт||1 шт|3|активное (кулер)|75 Вт|6 pin|2|179 мм|NVIDIA GeForce GTX 1650|4 ГБ|GDDR6|128 бит|1620 МГц|12000 МГц|12 нм|7680x4320 пикс|12|4.6|896||56|1 шт|2 шт|5825 балл(ов)||v.2.0b|v.1.4|300 Вт||||||||||||4719072744526|||
Sapphire Radeon RX 6700 XT 11306-02-20G|PCI-E v4.0||||3 шт|4|активное (кулер)|230 Вт|6 + 8 pin|2.5|260 мм|AMD Radeon RX 6700 XT|12 ГБ|GDDR6|192 бит|2581 МГц|16000 МГц|7 нм|7680x4320 пикс|12 Ultimate|4.6|2560||160|1 шт|2 шт|18878 балл(ов)||v.2.1|v.1.4a|650 Вт|Есть||||||||Есть||||||
Asus GeForce RTX 4070 Dual 12GB GDDR6X 90YV0IZ3-M0NA00, DUAL-RTX4070-12G|PCI-E v4.0||||3 шт|4|активное (кулер)||8 pin|2.5|267 мм|NVIDIA GeForce RTX 4070|12 ГБ|GDDR6X|192 бит|2505 МГц|21000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|5888|||1 шт|2 шт|26394 балл(ов)|90YV0IZ3-M0NA00, DUAL-RTX4070-12G|v.2.1|v.1.4a|650 Вт|Есть||Ada Lovelace|||||||||4711387130124|||
Asus GeForce RTX 4060 Ti TUF Gaming OC 8GB GDDR6 TUF-RTX4060TI-O8G-GAMING|PCI-E v4.0 / x8 /||||3 шт|4|активное (кулер)||8 pin|3.2|300 мм|NVIDIA GeForce RTX 4060 Ti|8 ГБ|GDDR6|128 бит|2655 МГц|18000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|4352|||1 шт|3 шт||TUF-RTX4060TI-O8G-GAMING|v.2.1|v.1.4a|650 Вт|Есть||Ada Lovelace|Есть|||Asus Aura Sync|||||4711387183120|||
Gigabyte GeForce RTX 4080 EAGLE OC 16GB GV-N4080EAGLE OC-16GD|PCI-E v4.0||||3 шт|4|активное (кулер)||16 pin|3.5|342 мм|NVIDIA GeForce RTX 4080|16 ГБ|GDDR6X|256 бит|2520 МГц|22400 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|7680|||1 шт|3 шт|34587 балл(ов)|GV-N4080EAGLE OC-16GD|v.2.1|v.1.4a|850 Вт|Есть||Ada Lovelace|Есть|||Gigabyte RGB Fusion||||||||
Palit GeForce RTX 4070 Ti GameRock OC NED407TU19K9-1045G|PCI-E v4.0||||3 шт|4|активное (кулер)|285 Вт|16 pin|3.2|329 мм|NVIDIA GeForce RTX 4070 Ti|12 ГБ|GDDR6X|192 бит|2775 МГц|21000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|7680|||1 шт|3 шт|34587 балл(ов)|NED407TU19K9-1045G|v.2.1|v.1.4a|750 Вт|Есть||Ada Lovelace|Есть|||||||||||
Palit GeForce RTX 4060 Ti Dual OC 8GB NE6406TT19P1-1060D|PCI-E v4.0 / x8 /||||3 шт|4|активное (кулер)|160 Вт|8 pin|2|250 мм|NVIDIA GeForce RTX 4060 Ti|8 ГБ|GDDR6|128 бит|2685 МГц|18000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|4352|||1 шт|2 шт||NE6406TT19P1-1060D|v.2.1|v.1.4a|650 Вт|Есть||Ada Lovelace|Есть|||||||||||
MSI GeForce RTX 4060 VENTUS 2X BLACK 8G OC|PCI-E v4.0 / x8 /||||3 шт|4|активное (кулер)|115 Вт|8 pin|2|199 мм|NVIDIA GeForce RTX 4060|8 ГБ|GDDR6|128 бит|2505 МГц|17000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|3072|||1 шт|2 шт|18158 балл(ов)||v.2.1a|v.1.4a|550 Вт|Есть||Ada Lovelace|||||||||4711377115421|||
Palit GeForce RTX 4070 Ti GamingPro NED407T019K9-1043A|PCI-E v4.0||||3 шт|4|активное (кулер)|285 Вт|16 pin|3.2|329 мм|NVIDIA GeForce RTX 4070 Ti|12 ГБ|GDDR6X|192 бит|2610 МГц|21000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|7680|||1 шт|3 шт|34587 балл(ов)|NED407T019K9-1043A|v.2.1|v.1.4a|750 Вт|Есть||Ada Lovelace|Есть|||||||||||
INNO3D GeForce RTX 3050 TWIN X2 N30502-08D6-1190VA42|PCI-E v4.0||||2 шт|4|активное (кулер)||8 pin|2|240 мм|NVIDIA GeForce RTX 3050|8 ГБ|GDDR6|128 бит|1777 МГц|14000 МГц|8 нм|7680x4320 пикс|12 Ultimate|4.6|2560|||1 шт|2 шт||N30502-08D6-1190VA42|v.2.1|v.1.4a|450 Вт|Есть||||||||||||||
Asus GeForce RTX 4080 TUF OC 16GB TUF-RTX4080-O16G-GAMING|PCI-E v4.0||||3 шт|4|активное (кулер)||16 pin|3.7|348 мм|NVIDIA GeForce RTX 4080|16 ГБ|GDDR6X|256 бит||23000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|7680|||1 шт|3 шт||TUF-RTX4080-O16G-GAMING|v.2.1a|v.1.4a|700 Вт|Есть|||Есть|||Asus Aura Sync||||||||
Gigabyte GeForce GT 730 GV-N730D5-2GL|PCI-E v2.0|||1 шт||2|активное (кулер)|||1|150 мм|NVIDIA GeForce GT 730|2 ГБ|GDDR5|64 бит|902 МГц|5000 МГц|28 нм|4096x2160 пикс|12|4.4|384|5|32|1 шт|1 шт|||||300 Вт|||||||||||||||
INNO3D GeForce RTX 3050 TWIN X2 OC N30502-08D6X-11902130|PCI-E v4.0||||2 шт|4|активное (кулер)||8 pin|2|240 мм|NVIDIA GeForce RTX 3050|8 ГБ|GDDR6|128 бит|1822 МГц|14000 МГц|8 нм|7680x4320 пикс|12 Ultimate|4.6|2560|||1 шт|2 шт||N30502-08D6X-11902130|v.2.1|v.1.4a|450 Вт|Есть||||||||||||||
Gigabyte Radeon RX 7800 XT GAMING OC 16G GV-R78XTGAMING OC-16GD|PCI-E v4.0 / x16 /||||2 шт|4|активное (кулер)|263 Вт|8 + 8 pin|3|302 мм|AMD Radeon RX 7800 XT|16 ГБ|GDDR6|256 бит||19500 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|3840|||2 шт|3 шт||GV-R78XTGAMING OC-16GD|v.2.1|v.2.1|700 Вт|||Navi 3X (RDNA 3)|Есть|||Gigabyte RGB Fusion|||||4719331314514|||
Gigabyte GeForce RTX­­ 4070 GAMING OC 12G GV-N4070GAMING OC-12GD|PCI-E v4.0||||3 шт|4|активное (кулер)||16 pin|3|300 мм|NVIDIA GeForce RTX 4070|12 ГБ|GDDR6X|192 бит|2565 МГц|21000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|5888|||1 шт|3 шт|26394 балл(ов)|GV-N4070GAMING OC-12GD|v.2.1a|v.1.4a|700 Вт|Есть||Ada Lovelace|Есть|||Gigabyte RGB Fusion|||||4719331312947|||
Palit GeForce RTX 3050 StormX NE63050019P1-190AF|PCI-E v4.0||||3 шт|4|активное (кулер)|130 Вт|8 pin|2|170 мм|NVIDIA GeForce RTX 3050|8 ГБ|GDDR6|128 бит|1777 МГц|14000 МГц|8 нм|7680x4320 пикс|12 Ultimate|4.6|2560|||1 шт|1 шт||NE63050019P1-190AF|v.2.1|v.1.4a|550 Вт|Есть||Ampere|||||||||4710562243253|||
Palit GeForce RTX 4070 JetStream NED4070019K9-1047J|PCI-E v4.0||||3 шт|4|активное (кулер)|200 Вт|8 pin|3|329 мм|NVIDIA GeForce RTX 4070|12 ГБ|GDDR6X|192 бит|2475 МГц|21000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|5888|||1 шт|3 шт|26394 балл(ов)|NED4070019K9-1047J|v.2.1|v.1.4a|750 Вт|Есть||Ada Lovelace||||||||||||
Asus GeForce RTX 4070 Ti TUF 12GB GDDR6X OC TUF-RTX4070TI-O12G-GAMING|PCI-E v4.0||||3 шт|4|активное (кулер)|285 Вт|16 pin|3.2|305 мм|NVIDIA GeForce RTX 4070 Ti|12 ГБ|GDDR6X|192 бит|2640 МГц|21000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|7680|||2 шт|3 шт|34587 балл(ов)|TUF-RTX4070TI-O12G-GAMING|v.2.1a|v.1.4a|750 Вт|Есть||Ada Lovelace|Есть|||Asus Aura Sync|||||4711081964780|||
Asus GeForce GTX 1650 DUAL DUAL-GTX1650-4G|PCI-E v3.0||1 шт||1 шт|3|активное (кулер)|75 Вт||2|204 мм|NVIDIA GeForce GTX 1650|4 ГБ|GDDR5|128 бит|1695 МГц|8000 МГц|12 нм|7680x4320 пикс|12|4.6|896||56|1 шт|2 шт|5825 балл(ов)|DUAL-GTX1650-4G|v.2.0b|v.1.4|300 Вт|||||||||||||||
Gigabyte GeForce RTX 4060 AERO OC 8G GV-N4060AERO OC-8GD|PCI-E v4.0 / x8 /||||2 шт|4|активное (кулер)||8 pin|2|281 мм|NVIDIA GeForce RTX 4060|8 ГБ|GDDR6|128 бит||17000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|3072|||2 шт|3 шт||GV-N4060AERO OC-8GD|v.2.1a|v.1.4a|450 Вт|Есть||Ada Lovelace|Есть|||Gigabyte RGB Fusion||||||||
AFOX GeForce GTX 750 AF750-4096D5L4-V2|PCI-E v3.0||1 шт|||2|активное (кулер)|||2|225 мм|NVIDIA GeForce GTX 750|4 ГБ|GDDR5|128 бит|1020 МГц|5000 МГц|28 нм|2560x1600 пикс|11.2|4.4|512|5|32|1 шт|2 шт|||||300 Вт||||||||||1 шт|||||
MSI GeForce RTX 3050 VENTUS 2X XS 8G OC|PCI-E v4.0||1 шт||1 шт|3|активное (кулер)|115 Вт|6 pin|2|205 мм|NVIDIA GeForce RTX 3050|8 ГБ|GDDR6|128 бит|1807 МГц|14000 МГц|8 нм|7680x4320 пикс|12 Ultimate|4.6|2560|||1 шт|2 шт|12770 балл(ов)||v.2.1|v.1.4|500 Вт|Есть||Ampere|||||||||0824142319192, 4711377084796|||
ASRock Intel Arc A750 Challenger D 8GB OC A750 CLD 8GO|PCI-E v4.0 / x16 /||||2 шт|4|активное (кулер)|225 Вт|8 + 8 pin|2.5|271 мм|Intel Arc A750|8 ГБ|GDDR6|256 бит|2200 МГц|16000 МГц|6 нм|7680x4320 пикс|12 Ultimate|4.6|3584|||2 шт|2 шт||A750 CLD 8GO|v.2.0b / v.2.1 /|v.2.0|650 Вт||||Есть|||||||||||
Asus Radeon RX 6600 XT ROG STRIX Gaming OC ROG-STRIX-RX6600XT-O8G-GAMING|PCI-E v4.0||||3 шт|4|активное (кулер)||8 pin|2.5|243 мм|AMD Radeon RX 6600 XT|8 ГБ|GDDR6|128 бит|2607 МГц|16000 МГц|7 нм|7680x4320 пикс|12 Ultimate|4.6|2048|||1 шт|2 шт|15469 балл(ов)|ROG-STRIX-RX6600XT-O8G-GAMING|v.2.1|v.1.4a|500 Вт|Есть|||Есть|||Asus Aura Sync||||||||
PowerColor Radeon RX 6700 XT Fighter 12GB AXRX 6700XT 12GBD6-3DH|PCI-E v4.0||||3 шт|4|активное (кулер)||8 + 8 pin|2|228 мм|AMD Radeon RX 6700 XT|12 ГБ|GDDR6|192 бит|2581 МГц|16000 МГц|7 нм|7680x4320 пикс|12 Ultimate|4.6|2560||160|1 шт|2 шт|18878 балл(ов)|AXRX 6700XT 12GBD6-3DH|v.2.1|v.1.4|650 Вт|Есть||||||||Есть||||||
Asus GeForce GTX 1650 TUF OC GDDR6 TUF-GTX1650-O4GD6-GAMING|PCI-E v3.0||1 шт||1 шт|3|активное (кулер)|75 Вт||2|204 мм|NVIDIA GeForce GTX 1650|4 ГБ|GDDR6|128 бит|1680 МГц|12000 МГц|12 нм|7680x4320 пикс|12|4.6|896||56|1 шт|2 шт|5825 балл(ов)|TUF-GTX1650-O4GD6-GAMING|v.2.0b|v.1.4|300 Вт|||||||||||||||
MSI GeForce RTX 4070 VENTUS 2X 12G OC|PCI-E v4.0||||3 шт|4|активное (кулер)|200 Вт|8 pin|2|242 мм|NVIDIA GeForce RTX 4070|12 ГБ|GDDR6X|192 бит|2520 МГц|21000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|5888|||1 шт|2 шт|26394 балл(ов)||v.2.1a|v.1.4a|650 Вт|Есть||Ada Lovelace||||||||||||
MSI GeForce RTX 4060 Ti GAMING X SLIM 16G|PCI-E v4.0 / x8 /||||3 шт|4|активное (кулер)|165 Вт|8 pin|2.2|307 мм|NVIDIA GeForce RTX 4060 Ti|16 ГБ|GDDR6|128 бит|2685 МГц|18000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|4352|||1 шт|3 шт|22604 балл(ов)||v.2.1a|v.1.4a|550 Вт|Есть||Ada Lovelace|Есть|||MSI Mystic Light Sync|||||4711377122092|||
MSI GT 1030 AERO ITX 2GD4 OC|PCI-E v3.0||1 шт|||2|активное (кулер)|20 Вт||2|147 мм|NVIDIA GeForce GT 1030|2 ГБ|DDR4|64 бит|1189 МГц|2100 МГц|14 нм|4096x2160 пикс|12|4.5|384|5|24|1 шт|1 шт|2208 балл(ов)||||300 Вт||||||||||||0824142159118|||
