|Мощность|Форм-фактор|Питание MB/CPU|SATA|MOLEX|PCI-E 8pin (6+2)|Система кабелей|+3.3V|+5V|+12V1|-12V|+5Vsb|Мощность +12V|Мощность +3.3V +5V|Мощность -12V|Мощность +5Vsb|Тип PFC|КПД|Система охлаждения|Диаметр вентилятора|Тип подшипника|Сертификат|Стандарт ATX 12В v.|MB|CPU|PCI-E|Защита от перенапряжения (OVP)|Защита от избыточного тока (OPP)|Защита от короткого замыкания (SCP)|Безопасность|Уровень шума|Гарантия производителя|Габариты (ВхШхГ)|Вес|Floppy|Провода в оплетке|Стандарт EPS 12В v.|Маркировка производителя|PCI-E 6pin|+12V2|PCI-E 16pin|Код EAN / UPS / GTIN|+12V3|+12V4|Подсветка|Синхронизация подсветки|PCI-E 8pin
Cooler Master MWE White 230V V2 MPE-6001-ACABW|600 Вт|ATX|24+8 (4+4) pin|400 мм|400 мм|4 шт|не модульная|18 А|18 А|49 А|0.3 А|3 А|588 Вт|120 Вт|3.6 Вт|15 Вт|активная|85 %|1 вентилятор|120 мм|гидродинамический|80+ White|2.52|500 мм|550 мм|500 мм|Есть|Есть|Есть|UVP, OTP|35 дБ / при загрузке 100% /|3 года|86x150x140 мм||||||||||||||
Deepcool PM-D PM750D|750 Вт|ATX|24+8+8(4+4) pin|450 мм|450 мм|3 шт|не модульная|20 А|20 А|62.5 А|0.3 А|3 А|750 Вт|110 Вт|3.6 Вт|15 Вт|активная|90 %|1 вентилятор|120 мм|гидродинамический|80+ Gold|2.4|550 мм|610 мм|500 мм|Есть|Есть|Есть|OTP, OCP||5 лет|86x150x140 мм|||||R-PM750D-FA0B-EU||||6933412709510|||||
Aerocool Aero White 550W|550 Вт|ATX|24+8 (4+4) pin|800 мм|800 мм|2 шт|не модульная|19 А|19 А|42 А|0.3 А|2.5 А|504 Вт|110 Вт|3.6 Вт|12.5 Вт|активная|87 %|1 вентилятор|120 мм|скольжения|80+ White|2.4|500 мм|550 мм|600 мм|Есть|Есть|Есть||25 дБ||||||||||||||||
Asus ROG Strix ROG-STRIX-850G|850 Вт|ATX|24+8+8(4+4) pin|810 мм|450 мм|4 шт|модульная|20 А|20 А|62 А|0.3 А|3 А|||||активная|90 %|полупассивная|135 мм||80+ Gold||610 мм|1000 мм|675 мм|Есть|Есть|Есть|OPP, OCP, OTP||10 лет|86x150x160 мм|||||90YE00A3-B0NA00|||||||||
Aerocool Mirage Gold 750W|750 Вт|ATX|24+8+8(4+4) pin|500 мм|500 мм|3 шт|не модульная|20 А|20 А|62 А|0.3 А|2.5 А|744 Вт|130 Вт|3.6 Вт|12.5 Вт|активная|90 %|1 вентилятор|120 мм||80+ Gold|2.52|550 мм|600 мм|500 мм|Есть|Есть|Есть|||1 год||||||ACPG-MD75FEC.11||||4711099472567|||Есть|multi compatibility|
Aerocool Kcas Plus Gold 650W|650 Вт|ATX|24+8 (4+4) pin|800 мм|800 мм|2 шт|не модульная|20 А|20 А|54 А|0.3 А|2.5 А|648 Вт|120 Вт|3.6 Вт|12.5 Вт|активная|92 %|1 вентилятор|120 мм||80+ Gold|2.52|550 мм|600 мм|500 мм|Есть|Есть|Есть|||||||||ACPG-KP65FEC.11|||||||Есть|multi compatibility|
Cooler Master MWE Gold V2 FM MPE-8501-AFAAG|850 Вт|ATX|24+8+8(4+4) pin|500 мм|500 мм|4 шт|модульная|20 А|20 А|70.8 А|0.3 А|3 А|849 Вт|100 Вт|3.6 Вт|15 Вт|активная|90 %|1 вентилятор|120 мм||80+ Gold||610 мм|600 мм|550 мм|Есть|Есть|Есть|OTP, OCP, UVP||5 лет|86x150x160 мм||||||||||||||
Chieftec Polaris PPS-1050FC|1050 Вт|ATX|24+8+8(4+4) pin|550 мм|550 мм|6 шт|модульная|22 А|22 А|87.5 А|0.3 А|3 А|1050 Вт|120 Вт|3.6 Вт|15 Вт|активная||1 вентилятор|140 мм|гидродинамический|80+ Gold|2.3|650 мм|650 мм|600 мм|Есть|Есть|Есть|OCP, OTP, SIP, UVP||2 года|87x150x160 мм|2.6 кг||Есть|||||||||||
Asus TUF -GAMING-750B|750 Вт|ATX|24+8+8(4+4) pin|400 мм|400 мм|4 шт|не модульная|25 А|25 А|62 А|0.8 А|3 А|||||активная||полупассивная|135 мм|качения|80+ Bronze||600 мм|800 мм|600 мм|Есть|Есть|Есть|||6 лет|86x150x150 мм|||Есть||90YE00D1-B0NA00|||||||||
Cougar GX-S 750|750 Вт|ATX|24+8 (4+4) pin|8 шт|4 шт|2 шт|не модульная||||||||||активная|93 %|1 вентилятор|120 мм||80+ Gold|2.3||||Есть|Есть|Есть||30 дБ|3 года|86x180x140 мм||Есть||||||||||||
1stPlayer DK Premium PS-800AX|800 Вт|ATX|24+8 (4+4) pin|6 шт|3 шт|4 шт|не модульная|20 А|20 А|66 А|0.3 А|2.5 А|||||активная||1 вентилятор|120 мм||80+ Bronze|2.4||||Есть|Есть|Есть||||86x150x140 мм|2.2 кг|||||||||||||
Xilence Red Wing R7 XP400R7|400 Вт|ATX|24+4 pin|3 шт|1 шт||не модульная||||||||||пассивная||1 вентилятор|120 мм||без 80+|||||Есть|Есть|Есть|||1 год|86x150x140 мм||||||1 шт||||||||
Chieftec Smart SFX Bronze BFX-450BS|450 Вт|SFX|24+8 (4+4) pin|250 мм|150 мм|2 шт|не модульная|20 А|20 А|37.5 А|0.3 А|3.6 А|450 Вт|120 Вт|2.5 Вт|12 Вт|активная||1 вентилятор|90 мм||80+ Bronze|2.3|350 мм|350 мм|350 мм|Есть|Есть|Есть|UVP, SIP, OTP, OCP, AFC||2 года|65x125x100 мм|1.03 кг|Есть||||||||||||
Chieftec SteelPower BDK-750FC|750 Вт|ATX|24+8+8(4+4) pin|500 мм|500 мм|4 шт|модульная|20 А|20 А|62.5 А|0.3 А|2.5 А|750 Вт|120 Вт|3.6 Вт|12.5 Вт|активная||1 вентилятор|120 мм|гидродинамический|80+ Bronze|2.3|650 мм|600 мм|500 мм|Есть|Есть|Есть|UVP, SIP, OTP, OCP, AFC||5 лет|86x150x140 мм|1.7 кг|Есть||||||||||||
Gamemax RGB Smart Series RGB-550|550 Вт|ATX|24+8 (4+4) pin|500 мм|500 мм|1 шт|модульная||||||||||активная|90 %|1 вентилятор|140 мм||80+ Gold|2.31|600 мм|600 мм|550 мм|Есть|Есть|Есть|||2 года|86x150x140 мм||||||||||||Есть||
Aerocool Kcas Plus 500W|500 Вт|ATX|24+8 (4+4) pin|7 шт|4 шт|2 шт|не модульная||||||||||активная|85 %|1 вентилятор|120 мм||80+ Bronze|2.4||||Есть|Есть|Есть|||2 года|||||||||||||||
Thermaltake TR2 S TRS-0600P-2|600 Вт|ATX|24+8 (4+4) pin|5 шт|4 шт|2 шт|не модульная|22 А|17 А|42 А|0.5 А|2.5 А|504 Вт|105 Вт|||активная|86 %|1 вентилятор|120 мм||80+|2.3||||Есть|Есть|Есть|||3 года|86x150x140 мм||Есть||||||||||||
Gamemax VP Gamer VP-800|800 Вт|ATX|24+8 (4+4) pin|6 шт|3 шт|2 шт|не модульная|20 А|20 А|60 А|0.5 А|2.5 А|720 Вт|130 Вт|6 Вт|12.5 Вт|активная|80 %|полупассивная|120 мм||80+|2.31|500 мм|600 мм|400 мм|Есть|Есть|Есть|UVP, OCP, OTP||1 год|86x150x140 мм||||||||||||||
Chieftec PowerPlay Platinum GPU-1200FC|1200 Вт|ATX|24+8+8(4+4) pin|500 мм|700 мм|8 шт|модульная|25 А|25 А|100 А|0.3 А|3 А|1200 Вт|130 Вт|3.6 Вт|15 Вт|активная|90 %|полупассивная|140 мм||80+ Platinum|2.53|600 мм|700 мм|600 мм|Есть|Есть|Есть|AFC, SIP, SCP, OTP||5 лет|86x150x160 мм|3.46 кг|Есть|||||||0753263077677|||||
Thermaltake Smart BM2 PS-SPD-0650MNFABE-1|650 Вт|ATX|24+8+8(4+4) pin|6 шт|4 шт|4 шт|полумодульная|20 А|20 А|54 А|0.3 А|2.5 А|648 Вт|110 Вт|3.6 Вт|12.5 Вт|активная|85 %|1 вентилятор|140 мм||80+ Bronze|2.4||||Есть|Есть|Есть||||86x150x160 мм||Есть||2.92|PS-SPD-0650MNFABE-1, SP-650AH3CCB-B|||||||||
1stPlayer DK Premium PS-700AX|700 Вт|ATX|24+8 (4+4) pin|6 шт|3 шт|4 шт|не модульная|20 А|20 А|58 А|0.3 А|2.5 А|||||активная||1 вентилятор|120 мм||80+ Bronze|2.4||||Есть|Есть|Есть||||86x150x140 мм|2.2 кг|||||||||||||
Chieftec Compact SFX CSN-550C|550 Вт|SFX|24+8 (4+4) pin|4 шт|3 шт|2 шт|модульная||||||||||активная|90 %|1 вентилятор|80 мм||80+ Gold|2.3||||Есть|Есть|Есть|||2 года|100x125x64 мм||Есть||||||||||||
Zalman TeraMax ZM750-TMX|750 Вт|ATX|24+8+8(4+4) pin|500 мм|500 мм|4 шт|модульная|20 А|20 А|62.5 А|0.3 А|3 А|750 Вт|120 Вт|3.6 Вт|15 Вт|активная|90 %|1 вентилятор|120 мм|гидродинамический|80+ Gold|2.52|600 мм|700 мм|550 мм|Есть|Есть|Есть|||7 лет|86x150x140 мм|2.5 кг|Есть|||||||8809213762994|||||
Chieftec PowerUp GPX-650FC|650 Вт|ATX|24+8+8(4+4) pin|500 мм|500 мм|2 шт|модульная|20 А|20 А|54 А|0.3 А|2.5 А|648 Вт|100 Вт|3.6 Вт|12.5 Вт|активная|90 %|1 вентилятор|120 мм|качения|80+ Gold|2.53|650 мм|650 мм|500 мм|Есть|Есть|Есть|OCP, OTP, AFC, SIP, UVP||5 лет|86x150x140 мм|2.2 кг|Есть||||||||||||
Cougar VTE 500|500 Вт|ATX|24+8 (4+4) pin|450 мм|450 мм|2 шт|не модульная||||||||||активная|87 %|1 вентилятор|120 мм||80+ Bronze||450 мм|600 мм|450 мм|Есть|Есть|Есть||30 дБ|2 года|86x150x140 мм|||||CGR BS-500|||||||||
Zalman Wattbit II ZM600-XEII|600 Вт|ATX|24+8 (4+4) pin|450 мм|450 мм|2 шт|не модульная|16 А|15 А|45 А|0.3 А|2 А|540 Вт|120 Вт|3.6 Вт|10 Вт||83 %|1 вентилятор|120 мм||без 80+||500 мм|600 мм|450 мм|Есть|Есть|Есть|||2 года|86x150x140 мм||||||||||||||
Cougar STX 550|550 Вт|ATX|24+8 (4+4) pin|6 шт|3 шт|2 шт|не модульная||||||||||активная|88 %|1 вентилятор|120 мм||80+|||||Есть|Есть|Есть||30 дБ|2 года|86x150x140 мм||Есть||||||||||||
MSI MPG A850GF|850 Вт|ATX|24+8+8(4+4) pin|950 мм|1100 мм|6 шт|модульная|22 А|22 А|40 А|0.3 А|2.5 А|850 Вт|120 Вт|||активная|90 %|1 вентилятор|140 мм||80+ Gold||600 мм|700 мм|500 мм|Есть|Есть|Есть|OCP, OTP, UVP|||86x150x160 мм||Есть|||||40 А|||||||
Gigabyte Ultra Durable GM UD1000GM|1000 Вт|ATX|24+8+8(4+4) pin|600 мм|500 мм|6 шт|модульная|25 А|25 А|83.3 А|0.3 А|3 А|999 Вт|125 Вт|3.6 Вт|15 Вт|активная|90 %|1 вентилятор|120 мм|гидродинамический|80+ Gold|2.31|610 мм|600 мм|600 мм|Есть|Есть|Есть|UVP, OCP, OTP||5 лет|86x150x140 мм||||||||||||||
Chieftec Core BBS-500S|500 Вт|ATX|24+8 (4+4) pin|500 мм|500 мм|1 шт|не модульная|18 А|18 А|41 А|0.3 А|3.6 А|492 Вт|100 Вт|3.6 Вт|12.5 Вт|активная|85 %|1 вентилятор|120 мм|скольжения|80+ Gold|2.3|650 мм|650 мм|500 мм|Есть|Есть|Есть|||2 года|87x150x140 мм|1.65 кг|Есть|Есть|||||||||||
Chieftec PowerPlay Platinum GPU-850FC|850 Вт|ATX|24+8+8(4+4) pin|9 шт|3 шт|6 шт|модульная||||||||||активная|90 %|полупассивная|140 мм||80+ Platinum|||||Есть|Есть|Есть|AFC, SIP, SCP, OTP||2 года|86x150x160 мм|3.41 кг|Есть||||||||||||
Chieftec iARENA GPC GPC-700S|700 Вт|ATX|24+8 (4+4) pin|6 шт|2 шт|2 шт|не модульная|22 А|22 А|52.5 А|0.3 А|2.5 А|630 Вт|130 Вт|3.6 Вт|12.5 Вт|активная|80 %|1 вентилятор|120 мм||без 80+|2.3||||Есть|Есть|Есть|||2 года|87x150x140 мм||||||||||||||
1stPlayer DK Premium PS-500AX|500 Вт|ATX|24+8 (4+4) pin|3 шт|2 шт|2 шт|не модульная|18 А|16 А|38 А|0.3 А|2.5 А|||||активная||1 вентилятор|120 мм||80+ Bronze|2.4||||Есть|Есть|Есть||||86x150x140 мм|2.2 кг|||||||||||||
Cooler Master MWE Gold V2 FM MPE-C501-AFCAG|1250 Вт|ATX|24+8+8(4+4) pin|500 мм|500 мм|8 шт|модульная|20 А|20 А|104 А|0.3 А|3 А|1248 Вт|120 Вт|3.6 Вт|15 Вт|активная|90 %|1 вентилятор|140 мм|гидродинамический|80+ Gold|2.52|650 мм|650 мм|550 мм|Есть|Есть|Есть|OTP, OCP, UVP|30 дБ|10 лет|86x150x180 мм||||||||||||||
1stPlayer FK PS -500FK|500 Вт|ATX|24+8 (4+4) pin|750 мм|2 шт|2 шт|не модульная|15 А|15 А|41 А|0.3 А|2.5 А|492 Вт|100 Вт|||активная||1 вентилятор|120 мм||без 80+|2.4|550 мм|600 мм|650 мм|Есть|Есть|Есть||||||||||||||||||
Thermaltake Smart BM2 PS-SPD-0750MNFABE-1|750 Вт|ATX|24+8+8(4+4) pin|9 шт|4 шт|4 шт|полумодульная|20 А|20 А|62.5 А|0.3 А|2.5 А|750 Вт|120 Вт|3.6 Вт|12.5 Вт|активная|85 %|1 вентилятор|140 мм||80+ Bronze|2.4||||Есть|Есть|Есть||||86x150x160 мм||Есть||2.92|PS-SPD-0750MNFABE-1, SP-750AH3CCB-B|||||||||
MSI MPG GF A650GF|650 Вт|ATX|24+8+8(4+4) pin|950 мм|1100 мм|4 шт|модульная|20 А|20 А|30 А|0.3 А|2.5 А|650 Вт|100 Вт|||активная|90 %|1 вентилятор|140 мм||80+ Gold||600 мм|700 мм|500 мм|Есть|Есть|Есть|OCP, OTP, UVP|||86x150x160 мм||Есть|||||30 А||4719072754259|||||
Cooler Master MWE Gold V2 FM MPE-A501-AFCAG|1050 Вт|ATX|24+8+8(4+4) pin|500 мм|500 мм|6 шт|модульная|20 А|20 А|87.5 А|0.3 А|3 А|1050 Вт|120 Вт|3.6 Вт|15 Вт|активная|90 %|1 вентилятор|140 мм|гидродинамический|80+ Gold|2.52|650 мм|650 мм|550 мм|Есть|Есть|Есть|OTP, OCP, UVP|27 дБ|10 лет|86x150x180 мм||||||||||||||
Chieftec Proton BDF-850C|850 Вт|ATX|24+8 (4+4) pin|450 мм|450 мм|4 шт|модульная|22 А|22 А|70.5 А|0.5 А|3 А|846 Вт|140 Вт|6 Вт|15 Вт|активная|85 %|1 вентилятор|140 мм|скольжения|80+ Bronze|2.3|500 мм|550 мм|500 мм|Есть|Есть|Есть|SIP, UVP, OCP, OTP, AFC||2 года|87x150x160 мм|2.48 кг||||||||4710713231306|||||
Xilence Red Wing R7 XP600R7|600 Вт|ATX|24+8 (4+4) pin|6 шт|2 шт|1 шт|не модульная||||||||||пассивная||1 вентилятор|120 мм||без 80+|||||Есть|Есть|Есть|||1 год|86x150x140 мм||||||||||||||
Zalman LX II ZM700-LXII|700 Вт|ATX|24 (20+4) pin||||не модульная||||||||||активная||1 вентилятор|||без 80+|||||||||||||||||||||||||
1stPlayer PS-SP PS-850SP|850 Вт|ATX|24+8+8(4+4) pin|6 шт|6 шт|4 шт|модульная|20 А|20 А|70 А|0.3 А|2.5 А|||||активная|92 %|1 вентилятор|140 мм||80+ Gold|||||Есть|Есть|Есть||||86x150x160 мм||||||||||||||
Xilence Gaming 2 XP550R10|550 Вт|ATX|24 (20+4) pin|6 шт||2 шт|не модульная|21 А|16 А|38 А|0.5 А|2.5 А|456 Вт|105 Вт|||активная|85 %|1 вентилятор|120 мм||80+ Bronze|||||Есть|Есть|Есть||||||Есть||||||||||||
Chieftec Proton BDF-1000C|1000 Вт|ATX|24+8+8(4+4) pin|450 мм|450 мм|6 шт|модульная|23 А|23 А|83 А|0.5 А|3 А||130 Вт|||активная|85 %|1 вентилятор|140 мм|скольжения|80+ Bronze|2.3|500 мм|550 мм|500 мм|Есть|Есть|Есть|SIP, UVP, OCP, OTP, AFC||2 года|87x150x160 мм||||||||||||||
Zalman Wattbit II ZM500-XEII|500 Вт|ATX|24+8 (4+4) pin|450 мм|450 мм|2 шт|не модульная|16 А|15 А|37.5 А|0.3 А|2 А|450 Вт|110 Вт|3.6 Вт|10 Вт||83 %|1 вентилятор|120 мм||без 80+||500 мм|600 мм|450 мм|Есть|Есть|Есть|||2 года|86x150x140 мм||||||||||||||
Cooler Master MWE White 230V V2 MPE-7001-ACABW|700 Вт|ATX|24+8 (4+4) pin|400 мм|400 мм|4 шт|не модульная|20 А|20 А|58 А|0.3 А|3 А|696 Вт|120 Вт|3.6 Вт|15 Вт|активная|85 %|1 вентилятор|120 мм|гидродинамический|80+ White|2.52|500 мм|550 мм|500 мм|Есть|Есть|Есть|UVP, OTP|41 дБ / при загрузке 100% /|3 года|86x150x140 мм||||||||||||||
Cooler Master MWE Gold V2 MPE-8501-ACAAG|850 Вт|ATX|24+8+8(4+4) pin|500 мм|500 мм|4 шт|не модульная|20 А|20 А|70.8 А|0.3 А|3 А|849 Вт|100 Вт|3.6 Вт|15 Вт|активная|90 %|1 вентилятор|120 мм||80+ Gold||610 мм|600 мм|550 мм|Есть|Есть|Есть|OTP, OCP, UVP|26 дБ|5 лет|86x150x140 мм|||Есть|||||||||||
Deepcool Nova DN500|500 Вт|ATX|24+8 (4+4) pin|350 мм|350 мм|1 шт|не модульная|18 А|17 А|38 А|0.3 А|2.5 А|456 Вт|110 Вт|3.6 Вт|12.5 Вт|активная|85 %|1 вентилятор|120 мм|скольжения|80+|2.31|450 мм|500 мм|450 мм|Есть|Есть|Есть|||5 лет|86x150x140 мм||||||||||||||
Asus ROG Strix Aura ROG STRIX 1000W Gold Aura|1000 Вт|ATX|24+8+8(4+4) pin|400 мм|400 мм|4 шт|модульная|22 А|22 А|83.3 А|0.3 А|3 А|1000 Вт|120 Вт|3.6 Вт|15 Вт|активная||полупассивная|135 мм|качения|80+ Gold|3|600 мм|650 мм|700 мм|Есть|Есть|Есть|||10 лет|86x150x180 мм|3.03 кг||||90YE00P1-B0NA00, ROG-STRIX-1000G-AURA-GAMING|||1 шт|4711081721703|||Есть|Asus Aura Sync|
Chieftec Compact SFX CSN-650C|650 Вт|SFX|24+8 (4+4) pin|6 шт|3 шт|2 шт|модульная||||||||||активная|90 %|1 вентилятор|80 мм||80+ Gold|2.3||||Есть|Есть|Есть|||2 года|100x125x64 мм||Есть||||||||||||
Chieftec Polaris PPS-1250FC|1250 Вт|ATX|24+8+8(4+4) pin|550 мм|550 мм|6 шт|модульная|22 А|22 А|104 А|0.3 А|3 А|1250 Вт|120 Вт|3.6 Вт|15 Вт|активная||1 вентилятор|140 мм|гидродинамический|80+ Gold|2.3|650 мм|650 мм|600 мм|Есть|Есть|Есть|OCP, OTP, SIP, UVP||2 года|86x150x160 мм|2.7 кг||Есть|||||||||||
Chieftec SteelPower BDK-650FC|650 Вт|ATX|24+8+8(4+4) pin|500 мм|500 мм|4 шт|модульная|20 А|20 А|54 А|0.3 А|2.5 А|648 Вт|110 Вт|3.6 Вт|12.5 Вт|активная||1 вентилятор|120 мм|гидродинамический|80+ Bronze|2.3|650 мм|600 мм|500 мм|Есть|Есть|Есть|UVP, SIP, OTP, OCP, AFC||5 лет|86x150x140 мм|1.65 кг|Есть||||||||||||
MSI MAG A550BN|550 Вт|ATX|24+8 (4+4) pin|400 мм|400 мм|2 шт|не модульная|20 А|20 А|45.5 А|0.3 А|2.5 А|546 Вт|110 Вт|3.6 Вт|12.5 Вт|активная|85 %|1 вентилятор|120 мм||80+ Bronze||600 мм|600 мм|600 мм|Есть|Есть|Есть|OCP, OTP||5 лет|86x150x140 мм||Есть||||||||||||
Cougar VTE X2 750|750 Вт|ATX|24+8 (4+4) pin|450 мм|450 мм|4 шт|не модульная|22 А|22 А|62.5 А|0.3 А|3 А|750 Вт|140 Вт|3.6 Вт|15 Вт|активная|88 %|1 вентилятор|120 мм||80+ Bronze||450 мм|600 мм|450 мм|Есть|Есть|Есть|UVP, OCP|29 дБ||86x150x140 мм|1.45 кг||||31VX075.0001P|||||||||
Xilence Red Wing R7 XP500R7|500 Вт|ATX|24+8 (4+4) pin|4 шт|2 шт|1 шт|не модульная||||||||||пассивная||1 вентилятор|120 мм||без 80+|||||Есть|Есть|Есть|||1 год|86x150x140 мм||||||||||||||
Cougar GEX 650|650 Вт|ATX|24+8+8(4+4) pin|450 мм|450 мм|4 шт|модульная|18 А|20 А|54 А|0.3 А|3 А|649 Вт|100 Вт|||активная|91 %|полупассивная|120 мм||80+ Gold||610 мм|650 мм|600 мм|Есть|Есть|Есть||||86x150x160 мм|1.46 кг|||||||||||||
Chieftec Proton BDF-500S|500 Вт|ATX|24+8 (4+4) pin|400 мм|400 мм|2 шт|не модульная|18 А|18 А|41.68 А|0.3 А|2.5 А|500 Вт|90 Вт|3.6 Вт|12.5 Вт|активная|85 %|1 вентилятор|120 мм|скольжения|80+ Bronze|2.3|450 мм|550 мм|450 мм|Есть|Есть|Есть|SIP, UVP, OCP, OTP, AFC||2 года|87x150x140 мм|1.55 кг||Есть|||||||||||
Deepcool DE v2 DE600 v2|600 Вт|ATX|24+8 (4+4) pin|500 мм|500 мм|1 шт|не модульная|16 А|16 А|34 А|0.5 А|2.5 А|408 Вт|90 Вт|6 Вт|12.5 Вт|пассивная||1 вентилятор|120 мм||без 80+|2.31|500 мм|600 мм|500 мм|Есть|Есть|Есть|||1 год|86x140x150 мм|1.65 кг||||DP-DE600US-PH|||||||||
Gigabyte Aorus PM GP-AP1200PM|1200 Вт|ATX|24+8+8(4+4) pin|650 мм|600 мм|10 шт|модульная|25 А|25 А|100 А|0.8 А|3.5 А|1200 Вт|125 Вт|9.6 Вт|17.5 Вт|активная|92 %|1 вентилятор|140 мм|качения|80+ Platinum|2.31|610 мм|650 мм|650 мм|Есть|Есть|Есть|UVP, OCP, OTP||10 лет|86x150x160 мм||Есть||||||||||Есть|Gigabyte RGB Fusion|
Thermaltake TR2 S TRS-0650P-2|650 Вт|ATX|24+8 (4+4) pin|5 шт|4 шт|2 шт|не модульная|23 А|17 А|48 А|0.5 А|2.5 А|576 Вт|110 Вт|||активная|86 %|1 вентилятор|120 мм||80+|2.3||||Есть|Есть|Есть|||3 года|86x150x140 мм||Есть||||||||||||
